Company, Employee-ID, Month, Day No., Daily Wage, Wage Per-Hour,totalWage-current 
c1,1,Jan,1,0,20,0
c1,1,Jan,2,0,20,0
c1,1,Jan,3,80,20,80
c1,1,Jan,4,160,20,240
c1,1,Jan,5,80,20,320
c1,1,Jan,6,0,20,320
c1,1,Jan,7,80,20,400
c1,1,Jan,8,80,20,480
c1,1,Jan,9,0,20,480
c1,1,Jan,10,0,20,480
c1,1,Jan,11,160,20,640
c1,1,Jan,12,80,20,720
c1,1,Jan,13,0,20,720
c1,1,Jan,14,160,20,880
c1,1,Jan,15,160,20,1040
c1,1,Jan,16,80,20,1120
c1,1,Jan,17,0,20,1120
c1,1,Jan,18,80,20,1200
c1,1,Jan,19,80,20,1280
c1,1,Jan,20,160,20,1440
c1,1,Feb,1,160,20,160
c1,1,Feb,2,0,20,160
c1,1,Feb,3,0,20,160
c1,1,Feb,4,0,20,160
c1,1,Feb,5,80,20,240
c1,1,Feb,6,80,20,320
c1,1,Feb,7,160,20,480
c1,1,Feb,8,80,20,560
c1,1,Feb,9,80,20,640
c1,1,Feb,10,160,20,800
c1,1,Feb,11,160,20,960
c1,1,Feb,12,160,20,1120
c1,1,Feb,13,0,20,1120
c1,1,Feb,14,0,20,1120
c1,1,Feb,15,0,20,1120
c1,1,Feb,16,160,20,1280
c1,1,Feb,17,80,20,1360
c1,1,Feb,18,80,20,1440
c1,1,Feb,19,0,20,1440
c1,1,Feb,20,80,20,1520
c1,1,March,1,160,20,160
c1,1,March,2,80,20,240
c1,1,March,3,80,20,320
c1,1,March,4,160,20,480
c1,1,March,5,160,20,640
c1,1,March,6,80,20,720
c1,1,March,7,0,20,720
c1,1,March,8,0,20,720
c1,1,March,9,0,20,720
c1,1,March,10,0,20,720
c1,1,March,11,0,20,720
c1,1,March,12,0,20,720
c1,1,March,13,80,20,800
c1,1,March,14,160,20,960
c1,1,March,15,80,20,1040
c1,1,March,16,80,20,1120
c1,1,March,17,160,20,1280
c1,1,March,18,160,20,1440
c1,1,March,19,160,20,1600
c1,1,March,20,80,20,1680
c1,1,April,1,160,20,160
c1,1,April,2,80,20,240
c1,1,April,3,80,20,320
c1,1,April,4,160,20,480
c1,1,April,5,160,20,640
c1,1,April,6,80,20,720
c1,1,April,7,160,20,880
c1,1,April,8,160,20,1040
c1,1,April,9,0,20,1040
c1,1,April,10,80,20,1120
c1,1,April,11,80,20,1200
c1,1,April,12,80,20,1280
c1,1,April,13,160,20,1440
c1,1,April,14,160,20,1600
c1,1,April,15,0,20,1600
c1,1,April,16,160,20,1760
c1,1,April,17,0,20,1760
c1,1,April,18,80,20,1840
c1,1,April,19,80,20,1920
c1,1,April,20,80,20,2000
c1,2,Jan,1,160,20,160
c1,2,Jan,2,80,20,240
c1,2,Jan,3,160,20,400
c1,2,Jan,4,80,20,480
c1,2,Jan,5,80,20,560
c1,2,Jan,6,80,20,640
c1,2,Jan,7,0,20,640
c1,2,Jan,8,80,20,720
c1,2,Jan,9,0,20,720
c1,2,Jan,10,0,20,720
c1,2,Jan,11,160,20,880
c1,2,Jan,12,160,20,1040
c1,2,Jan,13,160,20,1200
c1,2,Jan,14,80,20,1280
c1,2,Jan,15,80,20,1360
c1,2,Jan,16,80,20,1440
c1,2,Jan,17,80,20,1520
c1,2,Jan,18,160,20,1680
c1,2,Jan,19,80,20,1760
c1,2,Jan,20,0,20,1760
c1,2,Feb,1,80,20,80
c1,2,Feb,2,160,20,240
c1,2,Feb,3,160,20,400
c1,2,Feb,4,160,20,560
c1,2,Feb,5,0,20,560
c1,2,Feb,6,160,20,720
c1,2,Feb,7,160,20,880
c1,2,Feb,8,80,20,960
c1,2,Feb,9,0,20,960
c1,2,Feb,10,80,20,1040
c1,2,Feb,11,0,20,1040
c1,2,Feb,12,0,20,1040
c1,2,Feb,13,0,20,1040
c1,2,Feb,14,160,20,1200
c1,2,Feb,15,160,20,1360
c1,2,Feb,16,160,20,1520
c1,2,Feb,17,0,20,1520
c1,2,Feb,18,160,20,1680
c1,2,Feb,19,0,20,1680
c1,2,Feb,20,0,20,1680
c1,2,March,1,80,20,80
c1,2,March,2,80,20,160
c1,2,March,3,160,20,320
c1,2,March,4,160,20,480
c1,2,March,5,160,20,640
c1,2,March,6,160,20,800
c1,2,March,7,0,20,800
c1,2,March,8,0,20,800
c1,2,March,9,0,20,800
c1,2,March,10,160,20,960
c1,2,March,11,80,20,1040
c1,2,March,12,80,20,1120
c1,2,March,13,0,20,1120
c1,2,March,14,0,20,1120
c1,2,March,15,160,20,1280
c1,2,March,16,0,20,1280
c1,2,March,17,80,20,1360
c1,2,March,18,0,20,1360
c1,2,March,19,160,20,1520
c1,2,March,20,0,20,1520
c1,2,April,1,80,20,80
c1,2,April,2,160,20,240
c1,2,April,3,160,20,400
c1,2,April,4,80,20,480
c1,2,April,5,80,20,560
c1,2,April,6,80,20,640
c1,2,April,7,160,20,800
c1,2,April,8,160,20,960
c1,2,April,9,0,20,960
c1,2,April,10,0,20,960
c1,2,April,11,160,20,1120
c1,2,April,12,160,20,1280
c1,2,April,13,0,20,1280
c1,2,April,14,80,20,1360
c1,2,April,15,80,20,1440
c1,2,April,16,80,20,1520
c1,2,April,17,160,20,1680
c1,2,April,18,0,20,1680
c1,2,April,19,160,20,1840
c1,2,April,20,80,20,1920
